e_t,e,e_d,s_t,s,s_d
419,2513.48915,-1.80565,479,2406.79235,-1.76435
419.996511,2511.6898,0,480,2405.035,-1.76365
420,2511.6898,-1.80495,481,2403.27835,-1.76295
420.9965096,2509.89115,0,482,2401.5224,-1.76225
421,2509.89115,-1.80425,483,2399.76715,-1.76155
421.9965082,2508.0932,0,484,2398.0126,-1.76085
422,2508.0932,-1.80355,485,2396.25875,-1.76015
422.9965069,2506.29595,0,486,2394.5056,-1.75945
423,2506.29595,-1.80285,487,2392.75315,-1.75875
423.9965055,2504.4994,0,488,2391.0014,-1.75805
424,2504.4994,-1.80215,489,2389.25035,-1.75735
424.9965042,2502.70355,0,490,2387.5,-1.75665
425,2502.70355,-1.80145,491,2385.75035,-1.75595
425.9965028,2500.9084,0,492,2384.0014,-1.75525
426,2500.9084,-1.80075,493,2382.25315,-1.75455
426.9965015,2499.11395,0,494,2380.5056,-1.75385
427,2499.11395,-1.80005,495,2378.75875,-1.75315
427.9965001,2497.3202,0,496,2377.0126,-1.75245
428,2497.3202,-1.79935,497,2375.26715,-1.75175
428.9964987,2495.52715,0,498,2373.5224,-1.75105
429,2495.52715,-1.79865,499,2371.77835,-1.75035
429.9964974,2493.7348,0,500,2370.035,-1.74965
430,2493.7348,-1.79795,501,2368.29235,-1.74895
430.996496,2491.94315,0,502,2366.5504,-1.74825
431,2491.94315,-1.79725,503,2364.80915,-1.74755
431.9964946,2490.1522,0,504,2363.0686,-1.74685
432,2490.1522,-1.79655,505,2361.32875,-1.74615
432.9964933,2488.36195,0,506,2359.5896,-1.74545
433,2488.36195,-1.79585,507,2357.85115,-1.74475
433.9964919,2486.5724,0,508,2356.1134,-1.74405
434,2486.5724,-1.79515,509,2354.37635,-1.74335
434.9964905,2484.78355,0,510,2352.64,-1.74265
435,2484.78355,-1.79445,511,2350.90435,-1.74195
435.9964892,2482.9954,0,512,2349.1694,-1.74125
436,2482.9954,-1.79375,513,2347.43515,-1.74055
436.9964878,2481.20795,0,514,2345.7016,-1.73985
437,2481.20795,-1.79305,515,2343.96875,-1.73915
437.9964864,2479.4212,0,516,2342.2366,-1.73845
438,2479.4212,-1.79235,517,2340.50515,-1.73775
438.9964851,2477.63515,0,518,2338.7744,-1.73705
439,2477.63515,-1.79165,519,2337.04435,-1.73635
439.9964837,2475.8498,0,520,2335.315,-1.73565
440,2475.8498,-1.79095,521,2333.58635,-1.73495
440.9964823,2474.06515,0,522,2331.8584,-1.73425
441,2474.06515,-1.79025,523,2330.13115,-1.73355
441.9964809,2472.2812,0,524,2328.4046,-1.73285
442,2472.2812,-1.78955,525,2326.67875,-1.73215
442.9964796,2470.49795,0,526,2324.9536,-1.73145
443,2470.49795,-1.78885,527,2323.22915,-1.73075
443.9964782,2468.7154,0,528,2321.5054,-1.73005
444,2468.7154,-1.78815,529,2319.78235,-1.72935
444.9964768,2466.93355,0,530,2318.06,-1.72865
445,2466.93355,-1.78745,531,2316.33835,-1.72795
445.9964754,2465.1524,0,532,2314.6174,-1.72725
446,2465.1524,-1.78675,533,2312.89715,-1.72655
446.996474,2463.37195,0,534,2311.1776,-1.72585
447,2463.37195,-1.78605,535,2309.45875,-1.72515
447.9964727,2461.5922,0,536,2307.7406,-1.72445
448,2461.5922,-1.78535,537,2306.02315,-1.72375
448.9964713,2459.81315,0,538,2304.3064,-1.72305
449,2459.81315,-1.78465,539,2302.59035,-1.72235
449.9964699,2458.0348,0,540,2300.875,-1.72165
450,2458.0348,-1.78395,541,2299.16035,-1.72095
450.9964685,2456.25715,0,542,2297.4464,-1.72025
451,2456.25715,-1.78325,543,2295.73315,-1.71955
451.9964671,2454.4802,0,544,2294.0206,-1.71885
452,2454.4802,-1.78255,545,2292.30875,-1.71815
452.9964657,2452.70395,0,546,2290.5976,-1.71745
453,2452.70395,-1.78185,547,2288.88715,-1.71675
453.9964643,2450.9284,0,548,2287.1774,-1.71605
454,2450.9284,-1.78115,549,2285.46835,-1.71535
454.996463,2449.15355,0,550,2283.76,-1.71465
455,2449.15355,-1.78045,551,2282.05235,-1.71395
455.9964616,2447.3794,0,552,2280.3454,-1.71325
456,2447.3794,-1.77975,553,2278.63915,-1.71255
456.9964602,2445.60595,0,554,2276.9336,-1.71185
457,2445.60595,-1.77905,555,2275.22875,-1.71115
457.9964588,2443.8332,0,556,2273.5246,-1.71045
458,2443.8332,-1.77835,557,2271.82115,-1.70975
458.9964574,2442.06115,0,558,2270.1184,-1.70905
459,2442.06115,-1.77765,559,2268.41635,-1.70835
459.996456,2440.2898,0,560,2266.715,-1.70765
460,2440.2898,-1.77695,561,2265.01435,-1.70695
460.9964546,2438.51915,0,562,2263.3144,-1.70625
461,2438.51915,-1.77625,563,2261.61515,-1.70555
461.9964532,2436.7492,0,564,2259.9166,-1.70485
462,2436.7492,-1.77555,565,2258.21875,-1.70415
462.9964518,2434.97995,0,566,2256.5216,-1.70345
463,2434.97995,-1.77485,567,2254.82515,-1.70275
463.9964504,2433.2114,0,568,2253.1294,-1.70205
464,2433.2114,-1.77415,569,2251.43435,-1.70135
464.996449,2431.44355,0,570,2249.74,-1.70065
465,2431.44355,-1.77345,571,2248.04635,-1.69995
465.9964476,2429.6764,0,572,2246.3534,-1.69925
466,2429.6764,-1.77275,573,2244.66115,-1.69855
466.9964462,2427.90995,0,574,2242.9696,-1.69785
467,2427.90995,-1.77205,575,2241.27875,-1.69715
467.9964448,2426.1442,0,576,2239.5886,-1.69645
468,2426.1442,-1.77135,577,2237.89915,-1.69575
468.9964434,2424.37915,0,578,2236.2104,-1.69505
