s_t,s,s_d
545.0,8445.0,-2.5363499999984924
546.0,8444.0,-2.536050000002433
547.0,8443.0,-2.535749999999098
548.0,8442.0,-2.5354499999994005
549.0,8441.0,-2.535150000001522
550.0,8440.0,-2.534850000000006
551.0,8439.0,-2.5345499999984895
552.0,8438.0,-2.534249999998792
553.0,8437.0,-2.533950000002733
554.0,8436.0,-2.5336499999975786
555.0,8435.0,-2.5333499999997002
556.0,8434.0,-2.533050000000003
557.0,8433.0,-2.5327500000003056
558.0,8432.0,-2.5324500000006083
559.0,8431.0,-2.532149999999092
560.0,8430.0,-2.5318500000012136
561.0,8429.0,-2.5315499999996973
562.0,8428.0,-2.53125
563.0,8427.0,-2.5309500000003027
564.0,8426.0,-2.5306499999987864
565.0,8425.0,-2.530350000000908
566.0,8424.0,-2.5300499999993917
567.0,8423.0,-2.5297499999996944
568.0,8422.0,-2.529449999999997
569.0,8421.0,-2.5291500000002998
570.0,8420.0,-2.5288500000024214
571.0,8419.0,-2.528549999997267
572.0,8418.0,-2.528250000001208
573.0,8417.0,-2.5279500000015105
574.0,8416.0,-2.527649999999994
575.0,8415.0,-2.527349999998478
576.0,8414.0,-2.5270500000005995
577.0,8413.0,-2.526750000000902
578.0,8412.0,-2.526449999997567
579.0,8411.0,-2.5261500000015076
580.0,8410.0,-2.5258499999999913
581.0,8409.0,-2.525549999998475
582.0,8408.0,-2.5252500000024156
583.0,8407.0,-2.5249499999990803
584.0,8406.0,-2.524649999999383
585.0,8405.0,-2.5243500000015047
586.0,8404.0,-2.5240499999999884
587.0,8403.0,-2.523749999998472
588.0,8402.0,-2.5234500000005937
589.0,8401.0,-2.5231500000008964
590.0,8400.0,-2.522849999997561
591.0,8399.0,-2.5225500000015018
592.0,8398.0,-2.5222499999999854
593.0,8397.0,-2.521949999998469
594.0,8396.0,-2.52165000000241
595.0,8395.0,-2.5213499999990745
596.0,8394.0,-2.521049999999377
597.0,8393.0,-2.520750000001499
598.0,8392.0,-2.5204499999999825
599.0,8391.0,-2.520150000000285
600.0,8390.0,-2.519849999998769
601.0,8389.0,-2.5195499999990716
602.0,8388.0,-2.5192500000011933
603.0,8387.0,-2.518949999999677
604.0,8386.0,-2.5186499999999796
605.0,8385.0,-2.5183500000002823
606.0,8384.0,-2.518049999998766
607.0,8383.0,-2.5177500000008877
608.0,8382.0,-2.5174500000011903
609.0,8381.0,-2.517149999997855
610.0,8380.0,-2.5168499999999767
611.0,8379.0,-2.5165500000020984
